X_id,YEAR.BUILT,YEAR.EVALUATED,AGE,CURRENT.BUILDING.EVAL.SCORE
1,1961,2023,62,86
2,1979,2023,44,94
3,1969,2023,54,78
4,1950,2023,73,89
5,1969,2023,54,99
6,1970,2023,53,99
7,1955,2023,68,98
8,1956,2023,67,86
9,1965,2023,58,92
10,1963,2023,60,89
11,1954,2023,69,87
12,1970,2023,53,81
13,1885,2023,138,93
14,1969,2023,54,94
15,1968,2023,55,92
16,1967,2023,56,93
17,1965,2023,58,84
18,1964,2023,59,78
19,1964,2023,59,83
20,1965,2023,58,82
21,1966,2023,57,84
22,1966,2023,57,87
23,1964,2023,59,85
24,1935,2023,88,84
25,1960,2023,63,81
26,1982,2023,41,88
27,1974,2023,49,95
28,1959,2023,64,94
29,1977,2023,46,85
30,1970,2023,53,82
31,1960,2023,63,83
32,1967,2023,56,96
33,1960,2023,63,90
34,1959,2023,64,95
35,1974,2023,49,95
36,1974,2023,49,87
37,2010,2023,13,94
38,1927,2023,96,83
39,1960,2023,63,92
40,1988,2023,35,90
41,1962,2023,61,92
42,1962,2023,61,83
43,1962,2023,61,99
44,1965,2023,58,92
45,1966,2023,57,88
46,1969,2023,54,85
47,1950,2023,73,99
48,1956,2023,67,94
49,1959,2023,64,75
50,1959,2023,64,83
51,1968,2023,55,82
52,1992,2023,31,94
53,1961,2023,62,79
54,1972,2023,51,81
55,1972,2023,51,79
56,1961,2023,62,87
57,1981,2023,42,88
58,1977,2023,46,96
59,2012,2023,11,100
60,1952,2023,71,76
61,1965,2023,58,72
62,2005,2023,18,97
63,1910,2023,113,98
64,1910,2023,113,96
65,1994,2023,29,57
66,1929,2023,94,100
67,1960,2023,63,82
68,1955,2023,68,86
69,1937,2023,86,85
70,1967,2023,56,97
71,1960,2023,63,85
72,1951,2023,72,83
73,1950,2023,73,67
74,1951,2023,72,83
75,1950,2023,73,66
76,1958,2023,65,90
77,1981,2023,42,98
78,1989,2023,34,93
79,1970,2023,53,57
80,1992,2023,31,96
81,1972,2023,51,92
82,1970,2023,53,91
83,1993,2023,30,84
84,1989,2023,34,82
85,1989,2023,34,85
86,1957,2023,66,92
87,1935,2023,88,86
88,2022,2023,1,99
89,1950,2023,73,79
90,2016,2023,7,98
91,1977,2023,46,85
92,1963,2023,60,94
93,1962,2023,61,97
94,1965,2023,58,92
95,1970,2023,53,98
96,1986,2023,37,82
97,1961,2023,62,98
98,1955,2023,68,94
99,1956,2023,67,89
100,1958,2023,65,93
101,1962,2023,61,93
102,1965,2023,58,96
103,1959,2023,64,89
104,1968,2023,55,92
105,1959,2023,64,98
106,2004,2023,19,87
107,1955,2023,68,97
108,1927,2023,96,85
109,1959,2023,64,97
110,1965,2023,58,80
111,1983,2023,40,99
112,1995,2023,28,86
113,1989,2023,34,97
114,2002,2023,21,97
115,1990,2023,33,99
116,1956,2023,67,89
117,1955,2023,68,90
118,1956,2023,67,90
119,1955,2023,68,94
120,1971,2023,52,88
121,1971,2023,52,87
122,1952,2023,71,96
123,1958,2023,65,85
124,1953,2023,70,80
125,1996,2023,27,93
126,1967,2023,56,96
127,1966,2023,57,87
128,1985,2023,38,62
129,1960,2023,63,82
130,2002,2023,21,93
131,1991,2023,32,97
132,1988,2023,35,82
133,1959,2023,64,92
134,1958,2023,65,90
135,1978,2023,45,99
136,1967,2023,56,87
137,1962,2023,61,97
138,1965,2023,58,98
139,1963,2023,60,98
140,1969,2023,54,70
141,1992,2023,31,80
142,1973,2023,50,98
143,1970,2023,53,92
144,2017,2023,6,100
145,1970,2023,53,87
146,1958,2023,65,94
147,1960,2023,63,64
148,1959,2023,64,94
149,1959,2023,64,66
150,2013,2023,10,90
151,2007,2023,16,77
152,1930,2023,93,87
153,1983,2023,40,91
154,1960,2023,63,75
155,1970,2023,53,83
156,1964,2023,59,92
157,1967,2023,56,91
158,1968,2023,55,92
159,1964,2023,59,94
160,1966,2023,57,91
161,1959,2023,64,99
162,1959,2023,64,97
163,1958,2023,65,95
164,1950,2023,73,83
165,1968,2023,55,90
166,1995,2023,28,96
167,1980,2023,43,98
168,2009,2023,14,87
169,2005,2023,18,94
170,1967,2023,56,69
171,1993,2023,30,91
172,1950,2023,73,94
173,1963,2023,60,97
174,1963,2023,60,99
175,1968,2023,55,72
176,1966,2023,57,96
178,1960,2023,63,94
179,1953,2023,70,81
180,1943,2023,80,87
181,1950,2023,73,89
182,1979,2023,44,90
183,1971,2023,52,99
184,1972,2023,51,96
185,1974,2023,49,97
186,1972,2023,51,84
187,1953,2023,70,94
188,1984,2023,39,90
189,1968,2023,55,90
190,1974,2023,49,93
191,1974,2023,49,98
